image_name,Dp,Gd,Gc,sp,ctr,bri,tex,frac,Sm,prompt
00000,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00001,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00002,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00003,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00004,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00005,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00006,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00007,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00008,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00009,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00010,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00011,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00012,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00013,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00014,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00015,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00016,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00017,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00018,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00019,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00020,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00021,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00022,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00023,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00024,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00025,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00026,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00027,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00028,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00029,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00030,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
