image_name,Dp,Gd,Gc,sp,ctr,bri,tex,frac,Sm,prompt
00000,0.5003349631924938,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4996650368075062
00001,0.0,0.0,0.0,0.0,0.5004974007606506,0.49950259923934937,0.0,0.0,0.0,0.0
00002,0.0,0.0,0.0,0.0,0.5004274695984283,0.0,0.0,0.0,0.0,0.4995725304015717
00003,0.5002906918525696,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4997093081474304
00004,0.4999288618522204,0.0,0.0,0.0,0.5000711381477796,0.0,0.0,0.0,0.0,0.0
00005,0.0,0.0,0.0,0.0,0.5004909932906028,0.0,0.0,0.0,0.0,0.49950900670939724
00006,0.49981741606645036,0.0,0.0,0.0,0.5001825839335496,0.0,0.0,0.0,0.0,0.0
00007,0.0,0.49941694736480713,0.0,0.0,0.5005830526351929,0.0,0.0,0.0,0.0,0.0
00008,0.0,0.0,0.0,0.0,0.5004373788833618,0.4995626211166382,0.0,0.0,0.0,0.0
00009,0.5005540251731873,0.0,0.49944597482681274,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00010,0.5000772476196289,0.0,0.0,0.0,0.4999227523803711,0.0,0.0,0.0,0.0,0.0
00011,0.0,0.0,0.0,0.0,0.5002371072769165,0.0,0.4997628927230835,0.0,0.0,0.0
00012,0.5001840591430664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4998159408569336
00013,0.0,0.0,0.0,0.0,0.5001729130744934,0.0,0.0,0.0,0.0,0.4998270869255066
00014,0.0,0.0,0.0,0.0,0.5000474452972412,0.0,0.0,0.0,0.0,0.4999525547027588
00015,0.0,0.0,0.0,0.0,0.5000212043517469,0.0,0.4999787956482531,0.0,0.0,0.0
00016,0.5000895261764526,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49991047382354736
00017,0.0,0.0,0.0,0.0,0.4999275803565979,0.0,0.0,0.0,0.0,0.5000724196434021
00018,0.0,0.0,0.0,0.0,0.5004362910855922,0.4995637089144078,0.0,0.0,0.0,0.0
00019,0.0,0.0,0.0,0.0,0.5001295357981186,0.4998704642018814,0.0,0.0,0.0,0.0
00020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5003408640521507,0.0,0.4996591359478493
00021,0.5003265738487244,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49967342615127563
00022,0.0,0.0,0.0,0.0,0.5001116841998194,0.0,0.0,0.0,0.0,0.49988831580018056
00023,0.5000461638001301,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4999538361998699
00024,0.5000706762054361,0.0,0.0,0.0,0.0,0.4999293237945639,0.0,0.0,0.0,0.0
